,KernelName,Score
0,4,-0.003966629505157471
1,34,-0.004129290580749512
2,50,-0.0045413970947265625
3,60,-0.0037975311279296875
4,75,-0.004119157791137695
5,79,-0.003995120525360107
6,110,-0.004601657390594482
7,113,-0.004218339920043945
8,114,-0.006455063819885254
9,146,-0.004533052444458008
10,164,-0.00821918249130249
11,182,-0.004453182220458984
12,199,-0.004095017910003662
13,260,-0.004443824291229248
14,266,-0.004299521446228027
15,269,-0.0047724246978759766
16,277,-0.004333615303039551
17,280,-0.003915607929229736
18,281,-0.005027830600738525
